binID	qvalue	predicted_accuracy	damage_model_p	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4
OFN001_003	0.0420	0.5950	0.4470	0.0710	0.0000	0.0000	0.0000	0.0000
OFN001_004	0.0000	0.7600	0.2010	0.0880	0.0630	0.0500	0.0440	0.0370
OFN001_005	0.0000	0.9840	0.1520	0.2800	0.2140	0.1790	0.1670	0.1520
OFN001_006	0.0010	0.8435	0.2125	0.1360	0.0850	0.0620	0.0730	0.0185
OFN001_007	0.0000	0.9750	0.1420	0.2020	0.1530	0.1340	0.1260	0.1130
OFN001_008	0.0000	0.8375	0.1935	0.1170	0.0925	0.0695	0.0640	0.0520
OFN001_009	0.0000	0.7820	0.1875	0.1350	0.0910	0.0800	0.0730	0.0605
OFN001_010	0.0000	0.9690	0.1640	0.2160	0.1670	0.1330	0.1230	0.1050
OFN001_011	0.0000	0.9300	0.1530	0.1760	0.1370	0.1150	0.1065	0.0895
OFN001_012	0.0000	0.5930	0.2400	0.0780	0.0560	0.0430	0.0370	0.0300
OFN001_013	0.0000	0.9485	0.1480	0.2200	0.1760	0.1450	0.1360	0.1200
OFN001_014	0.0000	0.7890	0.2020	0.1170	0.0900	0.0680	0.0610	0.0560
OFN001_015	0.0000	0.8985	0.1930	0.1845	0.1250	0.1050	0.0950	0.0820
OFN001_016	0.0000	0.6140	0.2470	0.0880	0.0610	0.0380	0.0360	0.0340
OFN001_017	0.0000	0.9180	0.1960	0.1915	0.1480	0.1110	0.1000	0.0850
OFN001_018	0.5010	0.2510	0.3560	0.0000	0.0000	0.0000	0.0000	0.0000
OFN001_019	0.0000	0.8265	0.1735	0.1105	0.0795	0.0710	0.0650	0.0560
OFN001_020	0.0000	0.9660	0.1620	0.2260	0.1780	0.1470	0.1290	0.1090
OFN001_021	0.0000	0.9860	0.1420	0.2860	0.2310	0.2000	0.1820	0.1580
PES001_001	0.0000	0.9980	0.5115	0.3750	0.1880	0.0940	0.0830	0.0595
PES001_002	0.0000	1.0000	0.5830	0.3290	0.1610	0.0760	0.0620	0.0430
PES001_003	0.0000	0.9970	0.5685	0.3295	0.1720	0.0810	0.0650	0.0420
PES001_004	0.0000	0.9990	0.5370	0.3810	0.1980	0.0970	0.0770	0.0540
PES001_005	0.0000	0.9990	0.5530	0.3540	0.1800	0.0920	0.0730	0.0520
PES001_006	0.0000	0.9980	0.5650	0.3520	0.1740	0.0830	0.0680	0.0495
PES001_007	0.0000	0.9980	0.4920	0.3640	0.1890	0.1030	0.0850	0.0590
PES001_008	0.0000	0.9990	0.5060	0.3470	0.1830	0.1000	0.0880	0.0645
PES001_009	0.0000	0.9980	0.5530	0.3680	0.1790	0.0910	0.0740	0.0530
PES001_010	1.0000	0.3090	0.5500	0.0070	0.0000	0.0150	0.0050	0.0000
PES001_011	0.0000	0.9990	0.4850	0.3870	0.2130	0.1190	0.1000	0.0680
PES001_012	0.0000	0.9990	0.5230	0.4050	0.2070	0.1070	0.0830	0.0640
PES001_013	0.0000	0.9980	0.5540	0.3530	0.1770	0.0890	0.0700	0.0500
PES001_014	0.0000	0.9990	0.5600	0.3710	0.1860	0.0890	0.0730	0.0520
PES001_015	0.0450	0.3810	0.4445	0.0040	0.0030	0.0010	0.0020	0.0000
PES001_016	0.0000	0.9980	0.5690	0.3480	0.1700	0.0850	0.0680	0.0470
PES001_017	0.0000	0.9990	0.5040	0.4220	0.2170	0.1220	0.0960	0.0660
PES001_018	0.0000	1.0000	0.5170	0.4120	0.2100	0.1140	0.0940	0.0650
PES001_019	0.0000	0.9990	0.4930	0.4070	0.2215	0.1185	0.0990	0.0720
PES001_020	0.0000	0.9990	0.5360	0.3780	0.1960	0.1040	0.0855	0.0600
PES001_021	0.0000	0.9960	0.5575	0.3420	0.1740	0.0830	0.0665	0.0430
PES001_022	0.0000	0.9980	0.5410	0.3460	0.1810	0.0900	0.0750	0.0540
PLV001_001	0.0000	0.9520	0.5295	0.1935	0.0880	0.0460	0.0350	0.0270
PLV001_002	0.0000	0.9990	0.5560	0.2300	0.0990	0.0500	0.0360	0.0280
PLV001_003	0.0000	0.9460	0.4980	0.2000	0.0920	0.0540	0.0470	0.0340
PLV001_004	0.0030	0.8915	0.5475	0.1670	0.0670	0.0000	0.0000	0.0000
PLV001_005	0.0000	0.9620	0.4975	0.2060	0.0995	0.0600	0.0440	0.0360
PLV001_006	0.0000	0.9990	0.4520	0.2360	0.1210	0.0710	0.0540	0.0410
PLV001_007	0.0000	0.8510	0.4200	0.1470	0.0760	0.0460	0.0330	0.0280
PLV001_008	0.0000	0.9570	0.5040	0.2070	0.1010	0.0530	0.0450	0.0340
PLV001_009	1.0000	0.1850	0.4820	0.0000	0.0000	0.0000	0.0000	0.0000
PLV001_010	0.0000	0.8870	0.4420	0.1700	0.0870	0.0510	0.0430	0.0340
PLV001_011	0.0000	0.9630	0.3620	0.2335	0.1340	0.0940	0.0670	0.0560
